Cluster 0:
previous equation,wrong equation,id,cluster
ax + b = a,x = a,811,1
- ax - bb = aa,x = a,821,1
x - b = - aa,x = a,823,1
x - b = - aa,x = a,824,1
x - b = - aa,x = a,825,1
x - b = - aa,x = aaa,826,1
ax + b = aa,ax = aa,828,1
ax + bx = z - b - c - dd,aax = a,835,1
x + b - c = aa - b,x = a,839,1
x = a - b,x = a,841,1
x = a - b,x = a,842,1
x + bb = aa,x = aa,846,1
x + bb = aa,x = aa,849,1
x - b = aa,x = a,852,1
x - b = aa,x = a,853,1
x - b = aa,x = z,854,1
x + bb = aa,x = a,857,1
x - bb = aa,x = aa,859,1
x + bb = - aa,x = z,860,1
x - bb = aa,x = aa,862,1
x - bb = aa,x = a,864,1
x + b = aa,x = aa,876,1
x + b = aa,x = aaa,877,1
x - b = aa,x = aa,878,1
x - b = aa,x = aa,879,1
x - b = - aa,x = a,880,1
x = aa + b,x = aa,881,1
x = aa + b,x = aa,882,1
x = aa + b,x = aa,883,1
x + z - z = aa - z,x = aa,884,1
x - bb = - aa,x = aa,885,1
x + z - z = aa - z,x = aa,886,1
x = aa - z,x = aa,887,1
x = aa - z,x = aa,888,1
x + bbb = aa,x = a,889,1
- x + b - c = a - b,x = a,890,1
x = aa - b,x = a,891,1
ax = aa,x = aa,893,1
x = - ( aa ) / ( bb ),x = a,895,1
x = ( aaa ) / ( b ),x = aa,898,1
aax = - aaa,x = aa,899,1
( x ) / ( bb ) = - aa,x = aaa,902,1
- ( x ) / ( bb ) = - a,x = aa,904,1
- ( x ) / ( bb ) = - a,x = aa,905,1
- ( x ) / ( bb ) = - a,x = aa,906,1
aaax + bbb = aaa,x = a,907,1
- ax + bb = aa,x = aa,910,1
- ax + bb = - aaa,x = aa,911,1
- ax - bb = - ax + bb,x = aa,912,1
ax + b = a,x = a,914,1
aax - b + c = aa + bx,x = a,920,1
x + b = a,x = a,927,1
x + b = aa,x = aa,928,1
x - b = a,x = a,930,1
x - b = a,x = a,931,1
x - b = a,x = a,932,1
x - b = a,x = a,933,1
x - b = aa,x = aa,934,1
x - bb = aa,x = a,935,1
x + b = - a,x = a,936,1
x + b = - aa,x = aa,938,1
x + b = - aa,x = aa,939,1
x + bb = - aa,x = z,942,1
x - b = - aa,x = aa,945,1
a * ( bx + c ) = a * ( bx + cc ),x = a,948,1
ax + bx + cx - x + ex = a - bb + c,aax = aa,950,1
ax + bx + cx - x + ex = a - bb + c,aax = aa,954,1
ax + b - ( cx - d ) + ( - ex - f ) = - ( - ax + bb ),x = a,956,1
ax + b - ( cx - d ) + ( - ex - f ) = - ( - ax + bb ),x = a,958,1
ax + b - ( cx - d ) + ( - ex - f ) = - ( - ax + bb ),x = a,960,1
ax + b - cx + d - ex - f = ax - bb,x = a,961,1
x - b = aa,x = a,962,1
x + b = - a,x = a,963,1
x + bb = - aa,x = z,969,1
x + bb = - aa,x = aa,970,1
- ax + bb = - aaa,ax = aaa,975,1
ax = aaa,x = aa,978,1
ax = aa + bb,ax = aaa,981,1
( aa ) / ( bb ) = ( x ) / ( bb ),ax = aa,986,1
ax + b = ax + bb,x = aaa,989,1
ax + b = ax + bb,x = aaa,990,1
ax + b = ax + bb,x = aaa,991,1
x = ( aaa ) / ( b ),x = aa,1003,1
x = ( aaa ) / ( b ),x = aa,1004,1
x = ( aaa ) / ( b ),x = aa,1005,1
aax + bbx + cx - d = a - b,aax = a,1008,1
ax = aaa,x = aa,1009,1
ax = aaa,x = aa,1010,1
x = ( aaa ) / ( b ),x = aa,1011,1
x = ( aaa ) / ( b ),x = a,1012,1
- aax - bb = aa,aax = aa,1014,1
x + b - cx + d = - ax + b - cx + d,aax = aa,1015,1
aax + b = aax - bb,aax = aa,1018,1
aax + b = aax - bb,aax = aa,1019,1
ax + b = - ax - b,aax = a,1022,1
ax - bb + c = aa,ax = a,1028,1
aa - ( b ) / ( c ) + x = aaa + bbx,aaaaa = x,1029,1
x = aa - bb,x = aaa,1035,1
x = aa - bb,x = aaaa,1036,1
x = a - b,x = aa,1037,1
x = a - b,x = aa,1038,1
x = a - b,x = a,1045,1
x + b = - a,x = a,1048,1
x + b = - a,x = a,1049,1
x - bb = - aa,x = aa,1051,1
a * ( - b - x ) / ( d ) = a * ( b - x ) / ( d ),x = a,1056,1
a * ( - b - x ) / ( d ) = a * ( b - x ) / ( d ),x = a,1057,1
ax = aax + bbb,ax = aaa,1066,1
ax = ax + b,zx = ax,1068,1
( aax ) / ( bb ) = ( ax ) / ( b ) - cccc,aaaaax = a,1069,1
aax = aa,x = aa,1076,1
x + b = a,x = a,1083,1
x + b = a,x = aaa,1085,1
x + b = a,x = aa,1086,1
x + b = a,x = aa,1087,1
ax = aa - bb,ax = aa,1089,1
- aaa + bbbx + ( c ) = aax - bb,aaax = aaa,1095,1
( x ) / ( bb ) - ( ccc ) / ( ddd ) = ( - x + bb ) / ( cc ),a = x,1096,1
( x ) / ( bb ) - ( ccc ) / ( ddd ) = ( - x + bb ) / ( cc ),ax = aa,1108,1
x + b = a,x = a,1109,1
x + b = a,x = a,1110,1
ax + bb = aa,x = a,1112,1
- aa + ( bx + c ) / ( d ) = ( aax - bbb ) / ( c ) - d,x = aa,1114,1
- aaa + ( bbbx + c ) / ( d ) = a * ( bx - c ) / ( d ),x = aa,1115,1
x + ( bx + c ) = aa,x = a,1116,1
( ax ) / ( b ) = ( ax - bb ) / ( c ),ax = a,1124,1
( ax ) / ( b ) = ax - bb,x = aa,1125,1
( ax ) / ( b ) = ax - bb,x = a,1126,1
( - aax ) / ( b ) = ( aax - b ) / ( - c ),aaax = aaa,1127,1
( - aax ) / ( b ) = ( aax - b ) / ( - c ),aax = aa,1128,1
x + bb = aa,x = aa,1133,1
x + z = aa - b,x = a,1134,1
x - b = aa,x = aa,1135,1
x - b = aa,x = aa,1136,1
( - ax + bb ) / ( c ) = ( aaax ) / ( b ) + ( cx ) / ( dd ) - ( e ) / ( ff ),x = aa,1137,1
ax - bb = aa,ax = aa,1141,1
x = aa - b,x = aa,1143,1
x - b = a,x = a,1144,1
x + bb = aa,x = aa,1145,1
x + bb = aa,x = aa,1146,1
x - bb = - aa,x = a,1147,1
- x - bb = - aa,x = aa,1150,1
- x - bb = - aa,x = aa,1151,1
x - bb = aa,x = z,1153,1
- x - bb = aa,x = aa,1154,1
- x + bb = aa,x = aa,1155,1
- x + b = - aa,x = aa,1156,1
- x + bb = - aaa,x = aaa,1157,1
- x - bbb = - aaa,x = aaa,1158,1
x = a + b,x = a,1160,1
- x - b = aa,x = aa,1167,1
- x + bb = - aaa,x = aaa,1168,1


Cluster 2:
previous equation,wrong equation,id,cluster
x + b = - a,x = - a + b,4,2
x + b = - aa,x = - aa + b,11,2
x + bb = - aa,x = - aa + bb,14,2
x + bb = aa,x = - aa + bb,49,2
x + b = - aa,x = - aa + b,72,2
- x - bbb = - aaa,x = - aaa + bbb,381,2
x - bb = - aa,x = - aa + bb,430,2
x + b = - aa,x = - aa + b,517,2
x - bb = - a,x = - aa + b,865,2
x - b = - aa,x = - aa + b,873,2
x + bb = - a,x = - a + bb,967,2
- ax + b = ax,- ax + bx = a,1078,2
- ax + b = ax,- ax + bx = a,1079,2
x + b = aa,x = - aa + b,1093,2
x + b = aa,x = - aa + b,1094,2


Cluster 3:
previous equation,wrong equation,id,cluster
x = - a - b,x = - a,5,3
x + bb = - aa,x = - aa,13,3
x - bb = - a,x = - aa,17,3
x + b = - a,x = - a,30,3
x + b = - aa,x = - a,32,3
x - bb = - a,x = - a,33,3
x + b = - a,x = - a,94,3
x + b = - aa,x = - a,100,3
x + b = - aa,x = - a,101,3
x + b = - aa,x = - a,102,3
x + b = - aa,x = - a,104,3
x + b = - aa,x = - a,105,3
x + b = - aa,x = - a,106,3
x - b = - aa,x = - aa,107,3
x + b = - a,x = - a,109,3
x + b = - aa,x = - a,110,3
x + b = - aa,x = - a,111,3
x - bb = - a,x = - a,112,3
x + b = - aa,x = - a,113,3
x + b = - aa,x = - aa,117,3
x - bb = - aa,x = - aa,118,3
x - bb = - aa,x = - a,119,3
x - bb = a,x = - a,120,3
x + b = - aa,x = - a,123,3
x + b = - aa,x = - a,124,3
x - bb = - aa,x = - aa,125,3
x - bb = - aa,x = - aa,127,3
x - bb = - aa,x = - aa,129,3
x - bb = - aa,x = - aa,130,3
x - bb = - aa,x = - aa,131,3
x - bb = - aa,x = - aa,132,3
x - bb = - aa,x = - aa,134,3
x + b = aa,x = - aa,138,3
x + bb = aa,x = - aa,140,3
x - b = aa,x = - aa,143,3
x - b = - aa,x = - aa,146,3
x - b = - aa,x = - aa,147,3
x - b = - aa,x = - aa,149,3
x - bb = - aa,x = - aa,156,3
x - bb = - aa,x = - aa,157,3
x - b = - aa,x = - aa,180,3
x - bb = - a,x = - a,181,3
x - b = - aa,x = - aa,182,3
x - b = - aa,x = - aa,184,3
- ( x ) / ( bb ) = - aa,x = - aaa,195,3
x - bb = a,x = - a,198,3
x - bb = - aa,x = - aa,202,3
- x - b = aa,x = - a,205,3
- x + bb = - aa,x = - a,210,3
- x - b = - aa,x = - aa,213,3
- x - bbb = - aaa,x = - aaa,215,3
x - bb = - aa,x = - aaa,253,3
x = - aa + b,x = - aa,256,3
x - bb = - a,x = - aa,268,3
- x + bb = - aa,x = - aa,271,3
x - bb = - aa,x = - aa,275,3
x - bb = - aa,x = - aa,282,3
x + bb = - aa,aax = - aaa,313,3
x - bb = - aaa,x = - aaa,322,3
x - b = - aa,x = - aa,323,3
x - b = - aa,x = - aa,324,3
x - b = - aa,x = - aa,325,3
x - b = - aa,x = - aa,326,3
x - b = - aa,x = - aa,327,3
x - b = - aa,x = - aa,328,3
x = - aa - b,x = - aa,355,3
x = - aa + b,x = - a,356,3
x = - aa + b,x = - a,357,3
x = - aa - bb,x = - aa,359,3
x = - aa + bb,x = - a,360,3
x = - aa + bb,x = - a,361,3
x + b = - a,x = - a,367,3
x + bb = aa,x = - aa,369,3
x + bb = - aa,x = - aa,371,3
x - b = - aa,x = - aa,373,3
x - bb = - a,x = - aa,377,3
x - bb = - a,x = - a,378,3
x - bb = - aa,x = - a,379,3
- x = - aaa + bbb,- x = a,383,3
- x = - aaa + bbb,- x = a,384,3
x - bb = - aa,x = - aa,386,3
x = - aa + bb,x = - a,387,3
- x = aa - b,- x = aa,388,3
x - b = aa,x = - aa,389,3
x - b = aa,x = - aa,390,3
x + bb = aa,x = - aa,392,3
x - bb = a,x = - a,393,3
x - bb = a,x = - aa,394,3
x = - aa - b,x = - aa,420,3
- x = a + b,- x = z,439,3
- x = aa - b,- x = a,448,3
- x = aa + bb,- x = aa,450,3
- x = aa + bb,x = - aa,452,3
- x = aa + bb,x = - aa,462,3
x = ( a ) / ( bb ),x = - a,463,3
x = ( aa ) / ( - b ),x = - aa,468,3
x = - aa * bb,x = - aaa,483,3
aax = - aa,x = - a,500,3
18x = - aa,x = - a,501,3
- x + bb = aa,x = - aa,504,3
- x + bb = aa,x = - aa,505,3
- x + b = aa,x = - aa,506,3
x + bb = - aa,x = - aa,508,3
- ax = aa,x = - a,509,3
- ax = - aa,x = - a,510,3
( x ) / ( b ) = - aa,x = - aaa,512,3
( x ) / ( b ) = - aa,x = - aaa,513,3
( x ) / ( bb ) = - aa,x = - aaa,514,3
x + bb = - aa,x = - aa,519,3
x + b = aa,x = - aa,521,3
- x + b = aa,x = - aa,530,3
- x = - ( aaa ) / ( bb ),x = - aa,544,3
- ( x ) / ( b ) = aa,x = - aaa,545,3
- ax - bb = aa,x = - aa,547,3
ax = - aa,x = - a,548,3
- ( x ) / ( b ) = aa,x = - aaa,550,3
- ( x ) / ( bb ) = aa,x = - aaa,552,3
- x = aa,x = - aa,558,3
ax = - aa,x = - a,559,3
( aax + bb ) - ( cc - ddx ) = ( - aa + bbx ) - ( - ccx + dd ),aax = - aa,594,3
( aax + bb ) - ( cc - ddx ) = ( - aa + bbx ) - ( - ccx + dd ),aax = - aa,595,3
( aax + bb ) - ( cc - ddx ) = ( - aa + bbx ) - ( - ccx + dd ),aax = - aa,596,3
( aax + bb ) - ( cc - ddx ) = ( - aa + bbx ) - ( - ccx + dd ),aax = - aa,597,3
- ( x ) / ( bb ) = - aa,x = - aaaa,653,3
ax - b = ax - b,x = - a,657,3
ax - b = ax - b,x = - a,658,3
- ax + bb = ax - b,x = - aa,660,3
- ax + bb = ax - b,x = - a,661,3
aax - b - cx = ax - b - cc,x = - aa,664,3
aax - b - cx = ax - b - cc,x = - aa,665,3
aax - b - cx = ax - b - cc,x = - aa,666,3
a * ( x - c ) + d * ( x + f ) = a * ( x + c ),x = - a,670,3
( x + bb ) - ( - x - dd ) = z,ax = - aa,705,3
( x + bb ) - ( - x - dd ) = z,x = - aa,706,3
aa - ( - bb + cx ) = - ( ax + b ) - cc,x = - aa,716,3
- x = - aa + b,- x = aa,718,3
aax = - aaa,x = - aaa,723,3
( x ) / ( bb ) = - aa,x = - aaa,725,3
- ( x ) / ( b ) = aa,x = - a,726,3
x + b = - a,x = - a,732,3
x + bb = - a,x = - aa,734,3
- x - bb = aa,x = - aa,736,3
x = - ( aa ) / ( b ),x = - a,742,3
x + b = - a,x = - a,744,3
x + b = - aa,x = - aa,746,3
x + b = - aa,x = - aa,747,3
ax = aa - bb,ax = - aa,752,3
- ax = aa - bb,- ax = aa,757,3
- ax = aa + b,- ax = aa,759,3
- ax = aa + b,- ax = aa,760,3
x = ( aa ) / ( - b ),x = - a,771,3
ax = - aa,x = - aa,786,3
x + b = aa,x = - a,788,3
x + b = - aa,x = - aa,794,3
x + b = - aa,x = - aa,796,3
x - b = a,x = - a,800,3
x - b = aa,x = - aa,802,3
- ax = - a + b,x = - a,807,3
- ax = z,x = - a,809,3
x = ( z ) / ( - b ),x = - a,810,3
aax - b = aa,x = - a,813,3
ax - x + c = a - x + c,x = - a,817,3
- ax - bb = aa,x = - a,819,3
x + b = - aa,x = - aa,822,3
ax + bx = z - b - c - dd,aax = - a,836,3
ax + bx + c = - ax - bx - c,x = - a,838,3
aa - b = x,- x = aa,843,3
x + bb = - a,x = - aa,855,3
x + bb = - a,x = - aa,856,3
x + bb = - aa,x = - aa,858,3
x - bb = - a,- x = aa,866,3
x = aa - b,x = - a,867,3
x = - aa + bb,x = - a,870,3
- x = - a,x = - a,871,3
- x = - a,x = - a,872,3
x = - aa + b,x = - aa,874,3
- x = - aaa + bbb,- x = aa,892,3
- ax = - aa,x = - aa,897,3
( x ) / ( bb ) = - aa,x = - aaa,900,3
( x ) / ( bb ) = - aa,x = - aaa,903,3
- ax + bb = aa,x = - aa,908,3
- ax + bb = aa,x = - aa,909,3
- ax - bb = - ax + bb,x = - aa,913,3
x - b = a,x = - a,929,3
x + b = - aa,x = - aa,937,3
x + b = - aa,x = - aa,940,3
x + bb = - a,x = - aa,941,3
x - b = - aa,x = - aa,944,3
ax - ( - bx - c ) = - ax - ( bx +  c ),x = - a,946,3
ax + bx + cx - x + ex = a - bb + c,aax = - aa,951,3
ax + bx + cx - x + ex = a - bb + c,aax = - aa,952,3
ax + bx + cx - x + ex = a - bb + c,aax = - aa,953,3
- ax - bx = - a - b,- ax = z,955,3
ax + b - ( cx - d ) + ( - ex - f ) = - ( - ax + bb ),x = - a,957,3
x + b = - a,x = - a,964,3
x + b = - a,x = - a,965,3
x + b = - a,x = - a,966,3
x + bb = - a,x = - a,968,3
x - bb = - aa,x = - aa,971,3
